stop_id,stop_name,up,down,stop_district,o,p_o
par_4_1,PLAZA DE CASTILLA,629019,629019,2807906,7307664.0,0.08607661764416098
par_4_2,VALDEACEDERAS,127988,127988,2807906,7307664.0,0.017514215212959986
par_4_3,TETUAN,161236,161236,2807906,7307664.0,0.02206395915302072
par_4_4,ESTRECHO,229761,229761,2807906,7307664.0,0.03144110074026392
par_4_5,ALVARADO,95916,95916,2807906,7307664.0,0.013125398212068862
par_4_6,CUATRO CAMINOS,318458,318458,2807906,7307664.0,0.04357863196775331
par_4_193,NUEVOS MINISTERIOS,700903,700903,2807906,7307664.0,0.09591341364353917
par_4_163,VENTILLA,63954,63954,2807906,7307664.0,0.008751633901066059
par_4_7,RIOS ROSAS,93325,93325,2807907,9100036.0,0.010255453934467952
par_4_8,IGLESIA,149456,149456,2807907,9100036.0,0.016423671290970717
par_4_9,BILBAO,156604,156604,2807907,9100036.0,0.017209162689026725
par_4_39,SAN BERNARDO,96958,96958,2807907,9100036.0,0.010654683124330499
par_4_40,QUEVEDO,122067,122067,2807907,9100036.0,0.013413902977966241
par_4_41,CANAL,125694,125694,2807907,9100036.0,0.013812472829777817
par_4_52,ARGUELLES,334513,334513,2807907,9100036.0,0.03675952490737399
par_4_195,ALONSO MARTINEZ,229851,229851,2807907,9100036.0,0.025258251725597567
par_4_84,RUBEN DARIO,87877,87877,2807907,9100036.0,0.009656774984186876
par_4_122,GUZMAN EL BUENO,132921,132921,2807907,9100036.0,0.0146066455121716
par_4_194,GREGORIO MARANON,164421,164421,2807907,9100036.0,0.018068170279765927
par_4_143,ALONSO CANO,83869,83869,2807907,9100036.0,0.009216337166138682
par_4_145,ISLAS FILIPINAS,173021,173021,2807907,9100036.0,0.019013221486156758
par_4_10,TRIBUNAL,242091,242091,2807901,10769970.0,0.02247833559424957
par_4_11,GRAN VIA,0,0,2807901,10769970.0,0.0
par_4_12,SOL,935321,935321,2807901,10769970.0,0.0868452744065211
par_4_13,TIRSO DE MOLINA,162892,162892,2807901,10769970.0,0.015124647515266987
par_4_14,ANTON MARTIN,112257,112257,2807901,10769970.0,0.010423148810999473
par_4_33,BANCO DE ESPANA,112498,112498,2807901,10769970.0,0.0104455258464044
par_4_34,SEVILLA,48302,48302,2807901,10769970.0,0.004484877859455505
par_4_36,OPERA,214886,214886,2807901,10769970.0,0.01995233041503365
par_4_37,SANTO DOMINGO,59916,59916,2807901,10769970.0,0.0055632466942804855
par_4_38,NOVICIADO,85232,85232,2807901,10769970.0,0.00791385677026027
par_4_46,EMBAJADORES,267635,267635,2807901,10769970.0,0.02485011564563318
par_4_47,LAVAPIES,162739,162739,2807901,10769970.0,0.015110441347561785
par_4_49,CALLAO,366174,366174,2807901,10769970.0,0.03399953760316881
par_4_197,PLAZA DE ESPANA,327638,327638,2807901,10769970.0,0.03042144035684408
par_4_51,VENTURA RODRIGUEZ,67563,67563,2807901,10769970.0,0.006273276527232667
par_4_58,COLON,22708,22708,2807901,10769970.0,0.0021084552696061364
par_4_86,CHUECA,98888,98888,2807901,10769970.0,0.009181826876026582
par_4_90,LA LATINA,130726,130726,2807901,10769970.0,0.012138009669479118
par_4_91,PUERTA DE TOLEDO,75947,75947,2807901,10769970.0,0.007051737377170039
par_4_15,ESTACION DEL ARTE,90571,90571,2807902,7158751.0,0.012651788000448682
par_4_16,ATOCHA-RENFE,373629,373629,2807902,7158751.0,0.05219192565854015
par_4_43,LEGAZPI,335889,335889,2807902,7158751.0,0.046920056305911464
par_4_44,DELICIAS,162396,162396,2807902,7158751.0,0.02268496278191545
par_4_45,PALOS DE LA FRONTERA,114909,114909,2807902,7158751.0,0.016051543069454433
par_4_92,ACACIAS,59886,59886,2807902,7158751.0,0.00836542575653211
par_4_93,PIRAMIDES,67503,67503,2807902,7158751.0,0.009429438179928314
par_4_259,ARGANZUELA-PLANETARIO,54775,54775,2807902,7158751.0,0.007651474398257462
par_4_111,MENDEZ ALVARO,360793,360793,2807902,7158751.0,0.050398875446289446
par_4_17,MENENDEZ PELAYO,93462,93462,2807903,6660381.0,0.01403253057144929
par_4_18,PACIFICO,231480,231480,2807903,6660381.0,0.03475476853351182
par_4_32,RETIRO,103822,103822,2807903,6660381.0,0.015587997143106378
par_4_113,CONDE DE CASAL,258138,258138,2807903,6660381.0,0.03875724226587038
par_4_114,SAINZ DE BARANDA,138296,138296,2807903,6660381.0,0.0207639773160124
par_4_173,IBIZA,79036,79036,2807903,6660381.0,0.011866588412885088
par_4_19,PUENTE DE VALLECAS,201609,201609,2807913,9447559.0,0.02133979793087294
par_4_20,NUEVA NUMANCIA,211190,211190,2807913,9447559.0,0.02235392232004055
par_4_21,PORTAZGO,119124,119124,2807913,9447559.0,0.012608971269721629
par_4_22,BUENOS AIRES,84897,84897,2807913,9447559.0,0.00898613070317952
par_4_23,ALTO DEL ARENAL,103258,103258,2807913,9447559.0,0.010929595676512843
par_4_24,MIGUEL HERNANDEZ,115540,115540,2807913,9447559.0,0.012229614019875398
par_4_25,SIERRA DE GUADALUPE,125183,125183,2807913,9447559.0,0.013250300950753522
par_4_26,VILLA DE VALLECAS,92108,92108,2807918,8426615.0,0.010930604993820177
par_4_27,CONGOSTO,71398,71398,2807918,8426615.0,0.008472915874286413
par_4_293,LA GAVIA,51001,51001,2807918,8426615.0,0.0060523709698378295
par_4_294,LAS SUERTES,95051,95051,2807918,8426615.0,0.011279855552911815
par_4_295,VALDECARROS,43531,43531,2807918,8426615.0,0.005165894015568529
par_4_261,CHAMARTIN,250380,250380,2807905,10726038.0,0.023343195315921873
par_4_262,BAMBU,42986,42986,2807905,10726038.0,0.004007630776620408
par_4_64,AVENIDA DE AMERICA,584322,584322,2807905,10726038.0,0.054476965306294825
par_4_65,PROSPERIDAD,55631,55631,2807905,10726038.0,0.005186537657241192
par_4_66,ALFONSO XIII,71917,71917,2807905,10726038.0,0.006704898863867535
par_4_119,REPUBLICA ARGENTINA,62484,62484,2807905,10726038.0,0.005825450180206335
par_4_140,CARTAGENA,70815,70815,2807905,10726038.0,0.006602158224686506
par_4_156,COLOMBIA,195929,195929,2807905,10726038.0,0.01826667032132461
par_4_165,DUQUE DE PASTRANA,27587,27587,2807905,10726038.0,0.0025719655291170885
par_4_166,PIO XII,70419,70419,2807905,10726038.0,0.006565238720951763
par_4_168,CONCHA ESPINA,71436,71436,2807905,10726038.0,0.006660054719179626
par_4_169,CRUZ DEL RAYO,67836,67836,2807905,10726038.0,0.006324422867045596
par_4_191,CUZCO,144653,144653,2807905,10726038.0,0.013486153974095562
par_4_192,SANTIAGO BERNABEU,162361,162361,2807905,10726038.0,0.015137089762314846
par_4_263,PINAR DE CHAMARTIN,181607,181607,2807915,8837899.0,0.02054866207454962
par_4_260,LA ELIPA,134500,134500,2807915,8837899.0,0.015218549114444509
par_4_322,LA ALMUDENA,56585,56585,2807915,8837899.0,0.006402539789151246
par_4_67,AVENIDA DE LA PAZ,28545,28545,2807915,8837899.0,0.003229840033247721
par_4_68,ARTURO SORIA,49888,49888,2807915,8837899.0,0.005644780507222362
par_4_77,CIUDAD LINEAL,143814,143814,2807915,8837899.0,0.016272419496986785
par_4_78,PUEBLO NUEVO,188884,188884,2807915,8837899.0,0.021372047813626293
par_4_79,QUINTANA,122245,122245,2807915,8837899.0,0.013831907334537315
par_4_80,EL CARMEN,153423,153423,2807915,8837899.0,0.017359668853423195
par_4_135,GARCIA NOBLEJAS,111976,111976,2807915,8837899.0,0.01266997959582928
par_4_136,ASCAO,107712,107712,2807915,8837899.0,0.012187511986728973
par_4_138,BARRIO DE LA CONCEPCION,105561,105561,2807915,8837899.0,0.011944128349961908
par_4_28,VENTAS,115057,115057,2807904,9558710.0,0.012036875268733961
par_4_29,MANUEL BECERRA,197781,197781,2807904,9558710.0,0.02069118113218206
par_4_30,GOYA,236501,236501,2807904,9558710.0,0.024741936935004826
par_4_31,PRINCIPE DE VERGARA,107016,107016,2807904,9558710.0,0.011195652969909119
par_4_59,SERRANO,57999,57999,2807904,9558710.0,0.006067659757435888
par_4_60,VELAZQUEZ,49984,49984,2807904,9558710.0,0.005229157490916661
par_4_62,LISTA,36902,36902,2807904,9558710.0,0.003860562774684032
par_4_63,DIEGO DE LEON,258527,258527,2807904,9558710.0,0.02704622276436883
par_4_83,NUNEZ DE BALBOA,170278,170278,2807904,9558710.0,0.017813910035977657
par_4_115,O'DONNELL,175294,175294,2807904,9558710.0,0.01833866703770697
par_4_139,PARQUE DE LAS AVENIDAS,62970,62970,2807904,9558710.0,0.006587709010943945
par_4_323,ALSACIA,81154,81154,2807920,9024436.0,0.00899269494514671
par_4_324,AVENIDA DE GUADALAJARA,56818,56818,2807920,9024436.0,0.006296016726142221
par_4_325,LAS ROSAS,54331,54331,2807920,9024436.0,0.006020431636946619
par_4_74,CANILLEJAS,104793,104793,2807920,9024436.0,0.011612138420617089
par_4_75,TORRE ARIAS,72703,72703,2807920,9024436.0,0.008056237531076734
par_4_76,SUANZES,83164,83164,2807920,9024436.0,0.00921542354558224
par_4_132,LAS MUSAS,58967,58967,2807920,9024436.0,0.006534147951184983
par_4_133,SAN BLAS,68520,68520,2807920,9024436.0,0.007592718259623094
par_4_134,SIMANCAS,109630,109630,2807920,9024436.0,0.012148127594899005
par_4_286,ESTADIO METROPOLITANO,27261,27261,2807920,9024436.0,0.0030207981972502217
par_4_53,MONCLOA,903921,903921,2807909,11625237.0,0.0777550599613582
par_4_201,CASA DE CAMPO,65857,65857,2807909,11625237.0,0.005665002786609856
par_4_123,VICENTE ALEIXANDRE,68234,68234,2807909,11625237.0,0.00586947173636116
par_4_124,CIUDAD UNIVERSITARIA,162289,162289,2807909,11625237.0,0.013960059480937894
par_4_198,PRINCIPE PIO,726731,726731,2807909,11625237.0,0.06251322016058683
