stop_name,stop_id,up,down
AEROPUERTO T-4,par_5_142,2722,2977
ALCALA DE HENARES,par_5_2,15821,14112
ALCALA DE HENARES-UNIVERSIDAD,par_5_3,2489,2366
ALCOBENDAS SAN SEBASTIAN DE LOS REYES,par_5_4,6727,6274
ALCORCON,par_5_5,9135,7891
ALPEDRETE,par_5_6,405,344
ALUCHE,par_5_7,15398,15318
ARANJUEZ,par_5_8,5752,5865
ARAVACA,par_5_9,8345,8737
ASAMBLEA DE MADRID-ENTREVIAS,par_5_10,13308,12251
AVILA,,84,80
AZUQUECA,par_5_12,3280,3867
CERCEDILLA,par_5_16,426,349
CIEMPOZUELOS,par_5_19,4018,3836
COLLADO MEDIANO,par_5_20,453,350
COLMENAR VIEJO,,3949,3667
COSLADA,par_5_22,11765,11681
CUATRO VIENTOS,par_5_24,4981,5201
DELICIAS,par_5_25,5674,5414
DOCE DE OCTUBRE,par_5_26,4413,4306
EL BARRIAL-CENTRO COMERCIAL-POZUELO,par_5_13,3023,3208
EL CASAR,par_5_103,6017,6394
EL ESCORIAL,par_5_29,2707,1813
EL GOLOSO,,632,279
EL POZO,par_5_59,7617,8941
EMBAJADORES,par_5_28,14405,15821
FANJUL,par_5_30,3267,3101
FUENCARRAL,par_5_31,3857,4396
FUENLABRADA,par_5_32,18112,16223
FUENTE DE LA MORA,par_5_133,5503,5602
GALAPAGAR-LA NAVATA,par_5_33,1328,1120
GETAFE-CENTRO,par_5_34,17160,17100
GETAFE-INDUSTRIAL,par_5_35,1281,1432
GETAFE-SECTOR 3,par_5_36,1980,1819
GUADALAJARA,par_5_38,4683,4416
HUMANES,par_5_104,3137,3215
LA GARENA,par_5_106,4670,4045
LA SERNA-FUENLABRADA,par_5_77,9933,9466
LAGUNA,par_5_40,7506,7620
LAS AGUILAS,par_5_1,4474,4461
LAS MARGARITAS,par_5_43,9732,8967
LAS MATAS,par_5_44,2904,2828
LAS RETAMAS,par_5_66,4051,3675
LAS ROZAS,par_5_68,4684,4221
LAS ZORRERAS-NAVALQUEJIGO,par_5_96,566,477
LEGANES,par_5_41,14362,13807
LOS MOLINOS-GUADARRAMA,par_5_47,210,216
LOS NEGRALES,par_5_50,244,215
MADRID-ATOCHA CERCANIAS,par_5_11,173414,172769
MADRID-CHAMARTIN,par_5_18,41071,46425
MADRID-NUEVOS MINISTERIOS,par_5_51,64668,68269
MADRID-PRINCIPE PIO,par_5_61,14289,16067
MADRID-RECOLETOS,par_5_65,15689,18173
MAJADAHONDA,par_5_42,5144,4256
MECO,par_5_45,738,747
MENDEZ ALVARO,par_5_46,29605,30390
MIRASIERRA,par_5_145,0,0
MOSTOLES,par_5_48,15113,12910
MOSTOLES-EL SOTO,par_5_49,4150,3824
ORCASITAS,par_5_52,5568,5359
PARLA,par_5_53,20748,18827
PARQUE POLVORANCA,par_5_105,3516,3406
PINAR DE LAS ROZAS,par_5_55,3999,4041
PINTO,par_5_56,5989,6069
PIRAMIDES,par_5_57,7845,6855
PITIS,par_5_58,2597,2488
POZUELO,par_5_60,5391,5643
PUENTE ALCOCER,par_5_62,7121,6526
RAMON Y CAJAL,par_5_64,7031,7681
ROBLEDO DE CHAVELA,,59,44
SAN CRISTOBAL DE LOS ANGELES,par_5_69,2604,2347
SAN CRISTOBAL INDUSTRIAL,par_5_70,1293,1407
SAN FERNANDO DE HENARES,par_5_71,3584,3883
SAN JOSE DE VALDERAS,par_5_72,4429,4467
SAN YAGO,par_5_74,197,155
SANTA EUGENIA,par_5_75,4988,4440
SANTA MARIA DE LA ALAMEDA-PEGUERINOS,,17,29
SOL,par_5_122,42943,44870
SOTO DEL HENARES,par_5_143,3841,3327
TORREJON DE ARDOZ,par_5_81,11495,10592
TORRELODONES,par_5_82,2111,1461
TRES CANTOS,,7833,7845
UNIVERSIDAD PONTIFICIA DE COMILLAS,par_5_84,960,754
UNIVERSIDAD-CANTOBLANCO,par_5_15,15292,15161
VALDEBEBAS,par_5_144,877,767
VALDELASFUENTES,par_5_85,5691,7546
VALDEMORO,par_5_86,7137,6811
VALLECAS,par_5_87,14833,14873
VICALVARO,par_5_90,11353,12263
VILLALBA DE GUADARRAMA,par_5_91,7509,6497
VILLAVERDE ALTO,par_5_92,23606,24627
VILLAVERDE BAJO,par_5_93,13250,12293
ZARZALEJO,,36,36
ZARZAQUEMADA,par_5_95,10675,10505
