ds;users
14/02/2020;2569768
15/02/2020;1511965
16/02/2020;1146105
17/02/2020;2325478
18/02/2020;2452586
19/02/2020;2434865
20/02/2020;2453014
21/02/2020;2483037
22/02/2020;1482987
23/02/2020;1148320
24/02/2020;2336014
25/02/2020;2409436
26/02/2020;2469863
27/02/2020;2476205
28/02/2020;2327246
29/02/2020;1417094
01/03/2020;1103544
02/03/2020;2094381
03/03/2020;2328408
04/03/2020;2361084
05/03/2020;2364201
06/03/2020;2409175
07/03/2020;1421275
08/03/2020;1082280
09/03/2020;2184494
10/03/2020;1941318
11/03/2020;1493067
12/03/2020;1204811
13/03/2020;891359
14/03/2020;237058
15/03/2020;131999
16/03/2020;340361
17/03/2020;286759
18/03/2020;267941
19/03/2020;255728
20/03/2020;248785
21/03/2020;111275
22/03/2020;82578
23/03/2020;228622
24/03/2020;213798
25/03/2020;209660
26/03/2020;201872
27/03/2020;206521
28/03/2020;103016
29/03/2020;78847
30/03/2020;169388
31/03/2020;161421
01/04/2020;160880
02/04/2020;158811
03/04/2020;164230
04/04/2020;95085
05/04/2020;69491
06/04/2020;160183
07/04/2020;156955
08/04/2020;162846
09/04/2020;87104
10/04/2020;80010
11/04/2020;95096
12/04/2020;71303
13/04/2020;195844
14/04/2020;201056
15/04/2020;201270
16/04/2020;202170
17/04/2020;207031
18/04/2020;106351
19/04/2020;75589
20/04/2020;217483
21/04/2020;209253
22/04/2020;214394
23/04/2020;212726
24/04/2020;220906
25/04/2020;111454
26/04/2020;78917
27/04/2020;235174
28/04/2020;231307
29/04/2020;236134
30/04/2020;246161
01/05/2020;99818
02/05/2020;118289
03/05/2020;96776
04/05/2020;294423
05/05/2020;293779
06/05/2020;300137
07/05/2020;301533
08/05/2020;313005
09/05/2020;165485
10/05/2020;110214
11/05/2020;352601
12/05/2020;348277
13/05/2020;351930
14/05/2020;354360
15/05/2020;182482
16/05/2020;176116
17/05/2020;119260
18/05/2020;394601
19/05/2020;391805
20/05/2020;400835
21/05/2020;402665
22/05/2020;411390
23/05/2020;219025
24/05/2020;145305
25/05/2020;519619
26/05/2020;517399
27/05/2020;533352
28/05/2020;538938
29/05/2020;565236
30/05/2020;373523
31/05/2020;251832
01/06/2020;612571
02/06/2020;620371
03/06/2020;641984
04/06/2020;644203
05/06/2020;678483
06/06/2020;441489
07/06/2020;301483
08/06/2020;728914
09/06/2020;751619
