ds,2807905-2807901
2020-02-14 00:00:00,308.104
2020-02-14 01:00:00,165.496
2020-02-14 02:00:00,155.76
2020-02-14 03:00:00,126.662
2020-02-14 04:00:00,123.672
2020-02-14 05:00:00,230.861
2020-02-14 06:00:00,393.165
2020-02-14 07:00:00,955.119
2020-02-14 08:00:00,1226.425
2020-02-14 09:00:00,1058.345
2020-02-14 10:00:00,1006.363
2020-02-14 11:00:00,1129.488
2020-02-14 12:00:00,1165.153
2020-02-14 13:00:00,1394.494
2020-02-14 14:00:00,1626.435
2020-02-14 15:00:00,1507.759
2020-02-14 16:00:00,1438.277
2020-02-14 17:00:00,1257.834
2020-02-14 18:00:00,1457.48
2020-02-14 19:00:00,1119.294
2020-02-14 20:00:00,1114.191
2020-02-14 21:00:00,1455.89
2020-02-14 22:00:00,1018.978
2020-02-14 23:00:00,566.565
2020-02-15 00:00:00,673.99
2020-02-15 01:00:00,480.704
2020-02-15 02:00:00,300.731
2020-02-15 03:00:00,201.116
2020-02-15 04:00:00,257.532
2020-02-15 05:00:00,225.055
2020-02-15 06:00:00,261.88
2020-02-15 07:00:00,240.993
2020-02-15 08:00:00,381.372
2020-02-15 09:00:00,484.343
2020-02-15 10:00:00,664.8
2020-02-15 11:00:00,901.36
2020-02-15 12:00:00,1093.755
2020-02-15 13:00:00,1372.478
2020-02-15 14:00:00,1308.907
2020-02-15 15:00:00,1138.672
2020-02-15 16:00:00,1321.151
2020-02-15 17:00:00,1259.415
2020-02-15 18:00:00,1426.384
2020-02-15 19:00:00,1345.911
2020-02-15 20:00:00,1163.626
2020-02-15 21:00:00,1281.991
2020-02-15 22:00:00,922.841
2020-02-15 23:00:00,466.788
2020-02-16 00:00:00,743.124
2020-02-16 01:00:00,471.928
2020-02-16 02:00:00,363.069
2020-02-16 03:00:00,249.051
2020-02-16 04:00:00,196.927
2020-02-16 05:00:00,185.965
2020-02-16 06:00:00,185.79
2020-02-16 07:00:00,141.606
2020-02-16 08:00:00,275.913
2020-02-16 09:00:00,344.606
2020-02-16 10:00:00,703.023
2020-02-16 11:00:00,838.348
2020-02-16 12:00:00,1025.488
2020-02-16 13:00:00,1049.428
2020-02-16 14:00:00,889.452
2020-02-16 15:00:00,758.203
2020-02-16 16:00:00,947.028
2020-02-16 17:00:00,860.28
2020-02-16 18:00:00,869.093
2020-02-16 19:00:00,820.088
2020-02-16 20:00:00,504.304
2020-02-16 21:00:00,638.398
2020-02-16 22:00:00,1099.233
2020-02-16 23:00:00,448.09
2020-02-17 00:00:00,273.404
2020-02-17 01:00:00,215.82
2020-02-17 02:00:00,29.018
2020-02-17 03:00:00,105.635
2020-02-17 04:00:00,129.55
2020-02-17 05:00:00,232.68
2020-02-17 06:00:00,393.314
2020-02-17 07:00:00,985.392
2020-02-17 08:00:00,1364.795
2020-02-17 09:00:00,1180.807
2020-02-17 10:00:00,899.187
2020-02-17 11:00:00,910.876
2020-02-17 12:00:00,898.771
2020-02-17 13:00:00,1089.972
2020-02-17 14:00:00,1356.827
2020-02-17 15:00:00,1302.477
2020-02-17 16:00:00,1269.49
2020-02-17 17:00:00,1583.011
2020-02-17 18:00:00,2094.384
2020-02-17 19:00:00,1763.668
2020-02-17 20:00:00,1206.152
2020-02-17 21:00:00,668.858
2020-02-17 22:00:00,318.378
2020-02-17 23:00:00,282.47
2020-02-18 00:00:00,163.987
2020-02-18 01:00:00,117.772
2020-02-18 02:00:00,80.834
2020-02-18 03:00:00,101.541
2020-02-18 04:00:00,122.731
2020-02-18 05:00:00,184.112
2020-02-18 06:00:00,429.166
2020-02-18 07:00:00,946.215
2020-02-18 08:00:00,1204.724
2020-02-18 09:00:00,1390.275
2020-02-18 10:00:00,823.967
2020-02-18 11:00:00,1195.881
2020-02-18 12:00:00,1233.357
2020-02-18 13:00:00,1240.636
2020-02-18 14:00:00,1340.265
2020-02-18 15:00:00,1371.237
2020-02-18 16:00:00,1440.986
2020-02-18 17:00:00,1824.526
2020-02-18 18:00:00,1671.59
2020-02-18 19:00:00,1835.08
2020-02-18 20:00:00,1118.06
2020-02-18 21:00:00,677.617
2020-02-18 22:00:00,423.463
2020-02-18 23:00:00,265.042
2020-02-19 00:00:00,194.7
2020-02-19 01:00:00,99.3
2020-02-19 02:00:00,102.52
2020-02-19 03:00:00,88.769
2020-02-19 04:00:00,83.99
2020-02-19 05:00:00,197.388
2020-02-19 06:00:00,422.274
2020-02-19 07:00:00,1000.373
2020-02-19 08:00:00,1289.722
2020-02-19 09:00:00,1309.005
2020-02-19 10:00:00,1119.177
2020-02-19 11:00:00,1060.771
2020-02-19 12:00:00,1215.395
2020-02-19 13:00:00,1356.649
2020-02-19 14:00:00,1437.514
2020-02-19 15:00:00,1262.109
2020-02-19 16:00:00,1470.389
2020-02-19 17:00:00,1695.767
2020-02-19 18:00:00,1456.762
2020-02-19 19:00:00,1256.813
2020-02-19 20:00:00,1359.418
2020-02-19 21:00:00,806.054
2020-02-19 22:00:00,507.617
2020-02-19 23:00:00,266.132
2020-02-20 00:00:00,245.25
2020-02-20 01:00:00,107.855
2020-02-20 02:00:00,80.412
2020-02-20 03:00:00,94.496
2020-02-20 04:00:00,63.241
2020-02-20 05:00:00,162.318
2020-02-20 06:00:00,443.323
2020-02-20 07:00:00,936.153
2020-02-20 08:00:00,1375.448
2020-02-20 09:00:00,1248.988
2020-02-20 10:00:00,838.534
2020-02-20 11:00:00,997.69
2020-02-20 12:00:00,1097.633
2020-02-20 13:00:00,1219.852
2020-02-20 14:00:00,1589.878
2020-02-20 15:00:00,1476.222
2020-02-20 16:00:00,1454.884
2020-02-20 17:00:00,1895.796
2020-02-20 18:00:00,1778.736
2020-02-20 19:00:00,1564.301
2020-02-20 20:00:00,1527.574
2020-02-20 21:00:00,882.13
2020-02-20 22:00:00,597.886
2020-02-20 23:00:00,187.193
2020-02-21 00:00:00,422.098
2020-02-21 01:00:00,222.713
2020-02-21 02:00:00,189.416
2020-02-21 03:00:00,106.632
2020-02-21 04:00:00,131.037
2020-02-21 05:00:00,158.491
2020-02-21 06:00:00,375.608
2020-02-21 07:00:00,778.919
2020-02-21 08:00:00,1147.566
2020-02-21 09:00:00,1161.662
2020-02-21 10:00:00,1032.077
2020-02-21 11:00:00,1148.397
2020-02-21 12:00:00,1185.838
2020-02-21 13:00:00,1454.691
2020-02-21 14:00:00,1595.41
2020-02-21 15:00:00,2003.293
2020-02-21 16:00:00,1301.182
